x1,y1,x2,y2,width_px,height_px,width_cm,height_cm,area_cm2,confidence
370,148,1401,852,1031,704,28.169955525547266,19.235352754592896,541.859031615095,1.752292299226517e-05
228,148,288,878,60,730,1.6393766552209854,19.945749305188656,32.69859578181647,0.0022706891184353915
651,459,932,609,281,150,7.677747335284948,4.0984416380524635,31.46679936537818,0.0008066514635183053
